	#	Name	Type 1	Type 2	Speed	total	Generation	Legendary	HP	Attack	Defense	Sp. Atk	Sp. Def
108	100	Voltorb	Electric		100	121.0	1	False	40	30	50	55	55
109	101	Electrode	Electric		140	181.0	1	False	60	50	70	80	80
110	102	Exeggcute	Grass	Psychic	40	181.0	1	False	60	40	80	60	45
111	103	Exeggutor	Grass	Psychic	55	276.0	1	False	95	95	85	125	65
112	104	Cubone	Ground		35	196.0	1	False	50	50	95	40	50
113	105	Marowak	Ground		45	251.0	1	False	60	80	110	50	80
114	106	Hitmonlee	Fighting		87	224.0	1	False	50	120	53	35	110
115	107	Hitmonchan	Fighting		76	235.0	1	False	50	105	79	35	110
116	108	Lickitung	Normal		30	221.0	1	False	90	55	75	60	75
117	109	Koffing	Poison		35	201.0	1	False	40	65	95	60	45
118	110	Weezing	Poison		60	276.0	1	False	65	90	120	85	70
119	111	Rhyhorn	Ground	Rock	25	261.0	1	False	80	85	95	30	30
120	112	Rhydon	Ground	Rock	40	356.0	1	False	105	130	120	45	45
121	113	Chansey	Normal		50	261.0	1	False	250	5	5	35	105
122	114	Tangela	Grass		60	236.0	1	False	65	55	115	100	40
123	115	Kangaskhan	Normal		90	281.0	1	False	105	95	80	40	80
124	115	KangaskhanMega Kangaskhan	Normal		100	331.0	1	False	105	125	100	60	100
125	116	Horsea	Water		60	141.0	1	False	30	40	70	70	25
126	117	Seadra	Water		85	216.0	1	False	55	65	95	95	45
127	118	Goldeen	Water		63	173.0	1	False	45	67	60	35	50
128	119	Seaking	Water		68	238.0	1	False	80	92	65	65	80
129	120	Staryu	Water		85	131.0	1	False	30	45	55	70	55
130	121	Starmie	Water	Psychic	115	221.0	1	False	60	75	85	100	85
131	122	Mr. Mime	Psychic	Fairy	90	151.0	1	False	40	45	65	100	120
132	123	Scyther	Bug	Flying	105	261.0	1	False	70	110	80	55	80
133	124	Jynx	Ice	Psychic	95	151.0	1	False	65	50	35	115	95
134	125	Electabuzz	Electric		105	206.0	1	False	65	83	57	95	85
135	126	Magmar	Fire		93	218.0	1	False	65	95	57	100	85
136	127	Pinsir	Bug		85	291.0	1	False	65	125	100	55	70
137	127	PinsirMega Pinsir	Bug	Flying	105	341.0	1	False	65	155	120	65	90
138	128	Tauros	Normal		110	271.0	1	False	75	100	95	40	70
139	129	Magikarp	Water		80	86.0	1	False	20	10	55	15	20
140	130	Gyarados	Water	Flying	81	300.0	1	False	95	125	79	60	100
141	130	GyaradosMega Gyarados	Water	Dark	81	360.0	1	False	95	155	109	70	130
142	131	Lapras	Water	Ice	60	296.0	1	False	130	85	80	85	95
143	132	Ditto	Normal		48	145.0	1	False	48	48	48	48	48
144	133	Eevee	Normal		55	161.0	1	False	55	55	50	45	65
145	134	Vaporeon	Water		65	256.0	1	False	130	65	60	110	95
146	135	Jolteon	Electric		130	191.0	1	False	65	65	60	110	95
147	136	Flareon	Fire		65	256.0	1	False	65	130	60	95	110
148	137	Porygon	Normal		40	196.0	1	False	65	60	70	85	75
149	138	Omanyte	Rock	Water	35	176.0	1	False	35	40	100	90	55
150	139	Omastar	Rock	Water	55	256.0	1	False	70	60	125	115	70
151	140	Kabuto	Rock	Water	55	201.0	1	False	30	80	90	55	45
152	141	Kabutops	Rock	Water	80	281.0	1	False	60	115	105	65	70
153	142	Aerodactyl	Rock	Flying	130	251.0	1	False	80	105	65	60	75
154	142	AerodactylMega Aerodactyl	Rock	Flying	150	301.0	1	False	80	135	85	70	95
155	143	Snorlax	Normal		30	336.0	1	False	160	110	65	65	110
156	144	Articuno	Ice	Flying	85	277.0	1	True	90	85	100	95	125
157	145	Zapdos	Electric	Flying	100	267.0	1	True	90	90	85	125	90
158	146	Moltres	Fire	Flying	90	282.0	1	True	90	100	90	125	85
159	147	Dratini	Dragon		50	151.0	1	False	41	64	45	50	50
160	148	Dragonair	Dragon		70	211.0	1	False	61	84	65	70	70
161	149	Dragonite	Dragon	Flying	80	321.0	1	False	91	134	95	100	100
162	150	Mewtwo	Psychic		130	308.0	1	True	106	110	90	154	90
163	150	MewtwoMega Mewtwo X	Psychic	Fighting	130	398.0	1	True	106	190	100	154	100
164	150	MewtwoMega Mewtwo Y	Psychic		140	328.0	1	True	106	150	70	194	120
165	151	Mew	Psychic		100	301.0	1	False	100	100	100	100	100
166	152	Chikorita	Grass		45	161.0	2	False	45	49	65	49	65
167	153	Bayleef	Grass		60	204.0	2	False	60	62	80	63	80
168	154	Meganium	Grass		80	264.0	2	False	80	82	100	83	100
169	155	Cyndaquil	Fire		65	136.0	2	False	39	52	43	60	50
170	156	Quilava	Fire		80	182.0	2	False	58	64	58	80	65
171	157	Typhlosion	Fire		100	242.0	2	False	78	84	78	109	85
172	158	Totodile	Water		43	181.0	2	False	50	65	64	44	48
173	159	Croconaw	Water		58	227.0	2	False	65	80	80	59	63
174	160	Feraligatr	Water		78	292.0	2	False	85	105	100	79	83
175	161	Sentret	Normal		20	117.0	2	False	35	46	34	35	45
176	162	Furret	Normal		90	227.0	2	False	85	76	64	45	55
177	163	Hoothoot	Normal	Flying	50	122.0	2	False	60	30	30	36	56
178	164	Noctowl	Normal	Flying	70	202.0	2	False	100	50	50	76	96
179	165	Ledyba	Bug	Flying	55	92.0	2	False	40	20	30	40	80
180	166	Ledian	Bug	Flying	85	142.0	2	False	55	35	50	55	110
181	167	Spinarak	Bug	Poison	30	142.0	2	False	40	60	40	40	40
182	168	Ariados	Bug	Poison	40	232.0	2	False	70	90	70	60	60
183	169	Crobat	Poison	Flying	130	257.0	2	False	85	90	80	70	80
184	170	Chinchou	Water	Electric	67	153.0	2	False	75	38	38	56	56
185	171	Lanturn	Water	Electric	67	243.0	2	False	125	58	58	76	76
186	172	Pichu	Electric		60	77.0	2	False	20	40	15	35	35
187	173	Cleffa	Fairy		15	105.0	2	False	50	25	28	45	55
188	174	Igglybuff	Normal	Fairy	15	137.0	2	False	90	30	15	40	20
189	175	Togepi	Fairy		20	122.0	2	False	35	20	65	40	65
190	176	Togetic	Fairy	Flying	40	182.0	2	False	55	40	85	80	105
191	177	Natu	Psychic	Flying	70	137.0	2	False	40	50	45	70	45
192	178	Xatu	Psychic	Flying	95	212.0	2	False	65	75	70	95	70
193	179	Mareep	Electric		35	137.0	2	False	55	40	40	65	45
194	180	Flaaffy	Electric		45	182.0	2	False	70	55	55	80	60
195	181	Ampharos	Electric		55	252.0	2	False	90	75	85	115	90
196	181	AmpharosMega Ampharos	Electric	Dragon	45	292.0	2	False	90	95	105	165	110
197	182	Bellossom	Grass		50	252.0	2	False	75	80	95	90	100
198	183	Marill	Water	Fairy	40	142.0	2	False	70	20	50	20	50
199	184	Azumarill	Water	Fairy	50	232.0	2	False	100	50	80	60	80
200	185	Sudowoodo	Rock		30	287.0	2	False	70	100	115	30	65
201	186	Politoed	Water		70	242.0	2	False	90	75	75	90	100
202	187	Hoppip	Grass	Flying	50	112.0	2	False	35	35	40	35	55
203	188	Skiploom	Grass	Flying	80	152.0	2	False	55	45	50	45	65
204	189	Jumpluff	Grass	Flying	110	202.0	2	False	75	55	70	55	95
205	190	Aipom	Normal		85	182.0	2	False	55	70	55	40	55
206	191	Sunkern	Grass		30	92.0	2	False	30	30	30	30	30
207	192	Sunflora	Grass		30	207.0	2	False	75	75	55	105	85
208	193	Yanma	Bug	Flying	95	177.0	2	False	65	65	45	75	45
209	194	Wooper	Water	Ground	15	147.0	2	False	55	45	45	25	25
210	195	Quagsire	Water	Ground	35	267.0	2	False	95	85	85	65	65
211	196	Espeon	Psychic		110	192.0	2	False	65	65	60	130	95
212	197	Umbreon	Dark		65	272.0	2	False	95	65	110	60	130
213	198	Murkrow	Dark	Flying	91	189.0	2	False	60	85	42	85	42
214	199	Slowking	Water	Psychic	30	252.0	2	False	95	75	80	100	110
215	200	Misdreavus	Ghost		85	182.0	2	False	60	60	60	85	85
216	201	Unown	Psychic		48	170.0	2	False	48	72	48	72	48
217	202	Wobbuffet	Psychic		33	283.0	2	False	190	33	58	33	58
218	203	Girafarig	Normal	Psychic	85	217.0	2	False	70	80	65	90	65
219	204	Pineco	Bug		15	207.0	2	False	50	65	90	35	35
220	205	Forretress	Bug	Steel	40	307.0	2	False	75	90	140	60	60
221	206	Dunsparce	Normal		45	242.0	2	False	100	70	70	65	65
222	207	Gligar	Ground	Flying	85	247.0	2	False	65	75	105	35	65
223	208	Steelix	Steel	Ground	30	362.0	2	False	75	85	200	55	65
224	208	SteelixMega Steelix	Steel	Ground	30	432.0	2	False	75	125	230	55	95
225	209	Snubbull	Fairy		30	192.0	2	False	60	80	50	40	40
226	210	Granbull	Fairy		45	287.0	2	False	90	120	75	60	60
227	211	Qwilfish	Water	Poison	85	237.0	2	False	65	95	75	55	55
228	212	Scizor	Bug	Steel	65	302.0	2	False	70	130	100	55	80
229	212	ScizorMega Scizor	Bug	Steel	75	362.0	2	False	70	150	140	65	100
230	213	Shuckle	Bug	Rock	5	262.0	2	False	20	10	230	10	230
231	214	Heracross	Bug	Fighting	85	282.0	2	False	80	125	75	40	95
232	214	HeracrossMega Heracross	Bug	Fighting	75	382.0	2	False	80	185	115	40	105
233	215	Sneasel	Dark	Ice	115	207.0	2	False	55	95	55	35	75
234	216	Teddiursa	Normal		40	192.0	2	False	60	80	50	50	50
235	217	Ursaring	Normal		55	297.0	2	False	90	130	75	75	75
236	218	Slugma	Fire		20	122.0	2	False	40	40	40	70	40
237	219	Magcargo	Fire	Rock	30	222.0	2	False	50	50	120	80	80
238	220	Swinub	Ice	Ground	50	142.0	2	False	50	50	40	30	30
239	221	Piloswine	Ice	Ground	50	282.0	2	False	100	100	80	60	60
240	222	Corsola	Water	Rock	35	197.0	2	False	55	55	85	65	85
241	223	Remoraid	Water		65	137.0	2	False	35	65	35	65	35
242	224	Octillery	Water		45	257.0	2	False	75	105	75	105	75
243	225	Delibird	Ice	Flying	75	147.0	2	False	45	55	45	65	45
244	226	Mantine	Water	Flying	70	177.0	2	False	65	40	70	80	140
245	227	Skarmory	Steel	Flying	70	287.0	2	False	65	80	140	40	70
246	228	Houndour	Dark	Fire	65	137.0	2	False	45	60	30	80	50
247	229	Houndoom	Dark	Fire	95	217.0	2	False	75	90	50	110	80
248	229	HoundoomMega Houndoom	Dark	Fire	115	257.0	2	False	75	90	90	140	90
249	230	Kingdra	Water	Dragon	85	267.0	2	False	75	95	95	95	95
250	231	Phanpy	Ground		40	212.0	2	False	90	60	60	40	40
251	232	Donphan	Ground		50	332.0	2	False	90	120	120	60	60
252	233	Porygon2	Normal		60	257.0	2	False	85	80	90	105	95
253	234	Stantler	Normal		85	232.0	2	False	73	95	62	85	65
254	235	Smeargle	Normal		75	112.0	2	False	55	20	35	20	45
255	236	Tyrogue	Fighting		35	107.0	2	False	35	35	35	35	35
256	237	Hitmontop	Fighting		70	242.0	2	False	50	95	95	35	110
257	238	Smoochum	Ice	Psychic	65	92.0	2	False	45	30	15	85	65
258	239	Elekid	Electric		95	147.0	2	False	45	63	37	65	55
259	240	Magby	Fire		83	159.0	2	False	45	75	37	70	55
260	241	Miltank	Normal		100	282.0	2	False	95	80	105	40	70
261	242	Blissey	Normal		55	277.0	2	False	255	10	10	75	135
262	243	Raikou	Electric		115	253.0	2	True	90	85	75	115	100
263	244	Entei	Fire		100	318.0	2	True	115	115	85	90	75
264	245	Suicune	Water		85	293.0	2	True	100	75	115	90	115
265	246	Larvitar	Rock	Ground	41	166.0	2	False	50	64	50	45	50
266	247	Pupitar	Rock	Ground	51	226.0	2	False	70	84	70	65	70
267	248	Tyranitar	Rock	Dark	61	346.0	2	False	100	134	110	95	100
268	248	TyranitarMega Tyranitar	Rock	Dark	71	416.0	2	False	100	164	150	95	120
269	249	Lugia	Psychic	Flying	110	329.0	2	True	106	90	130	90	154
270	250	Ho-oh	Fire	Flying	90	329.0	2	True	106	130	90	110	154
271	251	Celebi	Psychic	Grass	100	302.0	2	False	100	100	100	100	100
272	252	Treecko	Grass		70	123.0	3	False	40	45	35	65	55
273	253	Grovyle	Grass		95	163.0	3	False	50	65	45	85	65
274	254	Sceptile	Grass		120	223.0	3	False	70	85	65	105	85
275	254	SceptileMega Sceptile	Grass	Dragon	145	258.0	3	False	70	110	75	145	85
276	255	Torchic	Fire		45	148.0	3	False	45	60	40	70	50
277	256	Combusken	Fire	Fighting	55	208.0	3	False	60	85	60	85	60
278	257	Blaziken	Fire	Fighting	80	273.0	3	False	80	120	70	110	70
279	257	BlazikenMega Blaziken	Fire	Fighting	100	323.0	3	False	80	160	80	130	80
280	258	Mudkip	Water		40	173.0	3	False	50	70	50	50	50
281	259	Marshtomp	Water	Ground	50	228.0	3	False	70	85	70	60	70
282	260	Swampert	Water	Ground	60	303.0	3	False	100	110	90	85	90
283	260	SwampertMega Swampert	Water	Ground	70	363.0	3	False	100	150	110	95	110
284	261	Poochyena	Dark		35	128.0	3	False	35	55	35	30	30
285	262	Mightyena	Dark		70	233.0	3	False	70	90	70	60	60
286	263	Zigzagoon	Normal		60	112.0	3	False	38	30	41	30	41
287	264	Linoone	Normal		100	212.0	3	False	78	70	61	50	61
288	265	Wurmple	Bug		20	128.0	3	False	45	45	35	20	30
289	266	Silcoon	Bug		15	143.0	3	False	50	35	55	25	25
290	267	Beautifly	Bug	Flying	65	183.0	3	False	60	70	50	100	50
291	268	Cascoon	Bug		15	143.0	3	False	50	35	55	25	25
292	269	Dustox	Bug	Poison	65	183.0	3	False	60	50	70	50	90
293	270	Lotad	Water	Grass	30	103.0	3	False	40	30	30	40	50
294	271	Lombre	Water	Grass	50	163.0	3	False	60	50	50	60	70
295	272	Ludicolo	Water	Grass	70	223.0	3	False	80	70	70	90	100
296	273	Seedot	Grass		30	133.0	3	False	40	40	50	30	30
297	274	Nuzleaf	Grass	Dark	60	183.0	3	False	70	70	40	60	40
298	275	Shiftry	Grass	Dark	80	253.0	3	False	90	100	60	90	60
299	276	Taillow	Normal	Flying	85	128.0	3	False	40	55	30	30	30
300	277	Swellow	Normal	Flying	125	208.0	3	False	60	85	60	50	50
301	278	Wingull	Water	Flying	85	103.0	3	False	40	30	30	55	30
302	279	Pelipper	Water	Flying	65	213.0	3	False	60	50	100	85	70
303	280	Ralts	Psychic	Fairy	40	81.0	3	False	28	25	25	45	35
304	281	Kirlia	Psychic	Fairy	50	111.0	3	False	38	35	35	65	55
305	282	Gardevoir	Psychic	Fairy	80	201.0	3	False	68	65	65	125	115
306	282	GardevoirMega Gardevoir	Psychic	Fairy	100	221.0	3	False	68	85	65	165	135
307	283	Surskit	Bug	Water	65	105.0	3	False	40	30	32	50	52
308	284	Masquerain	Bug	Flying	60	195.0	3	False	70	60	62	80	82
309	285	Shroomish	Grass		35	163.0	3	False	60	40	60	40	60
310	286	Breloom	Grass	Fighting	70	273.0	3	False	60	130	80	60	60
311	287	Slakoth	Normal		30	183.0	3	False	60	60	60	35	35
312	288	Vigoroth	Normal		90	243.0	3	False	80	80	80	55	55
313	289	Slaking	Normal		100	413.0	3	False	150	160	100	95	65
314	290	Nincada	Bug	Ground	40	169.0	3	False	31	45	90	30	30
315	291	Ninjask	Bug	Flying	160	199.0	3	False	61	90	45	50	50
316	292	Shedinja	Bug	Ghost	40	139.0	3	False	1	90	45	30	30
317	293	Whismur	Normal		28	141.0	3	False	64	51	23	51	23
318	294	Loudred	Normal		48	201.0	3	False	84	71	43	71	43
319	295	Exploud	Normal		68	261.0	3	False	104	91	63	91	73
320	296	Makuhita	Fighting		25	165.0	3	False	72	60	30	20	30
321	297	Hariyama	Fighting		50	327.0	3	False	144	120	60	40	60
322	298	Azurill	Normal	Fairy	20	113.0	3	False	50	20	40	20	40
323	299	Nosepass	Rock		30	213.0	3	False	30	45	135	45	90
324	300	Skitty	Normal		50	143.0	3	False	50	45	45	35	35
325	301	Delcatty	Normal		70	203.0	3	False	70	65	65	55	55
326	302	Sableye	Dark	Ghost	50	203.0	3	False	50	75	75	65	65
327	302	SableyeMega Sableye	Dark	Ghost	20	263.0	3	False	50	85	125	85	115
328	303	Mawile	Steel	Fairy	50	223.0	3	False	50	85	85	55	55
329	303	MawileMega Mawile	Steel	Fairy	50	283.0	3	False	50	105	125	55	95
330	304	Aron	Steel	Rock	30	223.0	3	False	50	70	100	40	40
331	305	Lairon	Steel	Rock	40	293.0	3	False	60	90	140	50	50
332	306	Aggron	Steel	Rock	50	363.0	3	False	70	110	180	60	60
333	306	AggronMega Aggron	Steel		50	443.0	3	False	70	140	230	60	80
334	307	Meditite	Fighting	Psychic	60	128.0	3	False	30	40	55	40	55
335	308	Medicham	Fighting	Psychic	80	198.0	3	False	60	60	75	60	75
336	308	MedichamMega Medicham	Fighting	Psychic	100	248.0	3	False	60	100	85	80	85
337	309	Electrike	Electric		65	128.0	3	False	40	45	40	65	40
338	310	Manectric	Electric		105	208.0	3	False	70	75	60	105	60
339	310	ManectricMega Manectric	Electric		135	228.0	3	False	70	75	80	135	80
340	311	Plusle	Electric		95	153.0	3	False	60	50	40	85	75
341	312	Minun	Electric		95	153.0	3	False	60	40	50	75	85
342	313	Volbeat	Bug		85	196.0	3	False	65	73	55	47	75
343	314	Illumise	Bug		85	170.0	3	False	65	47	55	73	75
344	315	Roselia	Grass	Poison	65	158.0	3	False	50	60	45	100	80
345	316	Gulpin	Poison		40	169.0	3	False	70	43	53	43	53
346	317	Swalot	Poison		55	259.0	3	False	100	73	83	73	83
347	318	Carvanha	Water	Dark	65	158.0	3	False	45	90	20	65	20
348	319	Sharpedo	Water	Dark	95	233.0	3	False	70	120	40	95	40
349	319	SharpedoMega Sharpedo	Water	Dark	105	283.0	3	False	70	140	70	110	65
350	320	Wailmer	Water		60	238.0	3	False	130	70	35	70	35
351	321	Wailord	Water		60	308.0	3	False	170	90	45	90	45
352	322	Numel	Fire	Ground	35	163.0	3	False	60	60	40	65	45
353	323	Camerupt	Fire	Ground	40	243.0	3	False	70	100	70	105	75
354	323	CameruptMega Camerupt	Fire	Ground	20	293.0	3	False	70	120	100	145	105
355	324	Torkoal	Fire		20	298.0	3	False	70	85	140	85	70
356	325	Spoink	Psychic		60	123.0	3	False	60	25	35	70	80
357	326	Grumpig	Psychic		80	193.0	3	False	80	45	65	90	110
358	327	Spinda	Normal		60	183.0	3	False	60	60	60	60	60
359	328	Trapinch	Ground		10	193.0	3	False	45	100	45	45	45
360	329	Vibrava	Ground	Dragon	70	173.0	3	False	50	70	50	50	50
361	330	Flygon	Ground	Dragon	100	263.0	3	False	80	100	80	80	80
362	331	Cacnea	Grass		35	178.0	3	False	50	85	40	85	40
363	332	Cacturne	Grass	Dark	55	248.0	3	False	70	115	60	115	60
364	333	Swablu	Normal	Flying	50	148.0	3	False	45	40	60	40	75
365	334	Altaria	Dragon	Flying	80	238.0	3	False	75	70	90	70	105
366	334	AltariaMega Altaria	Dragon	Fairy	80	298.0	3	False	75	110	110	110	105
367	335	Zangoose	Normal		90	251.0	3	False	73	115	60	60	60
368	336	Seviper	Poison		65	236.0	3	False	73	100	60	100	60
369	337	Lunatone	Rock	Psychic	70	193.0	3	False	70	55	65	95	85
370	338	Solrock	Rock	Psychic	70	253.0	3	False	70	95	85	55	65
371	339	Barboach	Water	Ground	60	144.0	3	False	50	48	43	46	41
372	340	Whiscash	Water	Ground	60	264.0	3	False	110	78	73	76	71
373	341	Corphish	Water		35	191.0	3	False	43	80	65	50	35
374	342	Crawdaunt	Water	Dark	55	271.0	3	False	63	120	85	90	55
375	343	Baltoy	Ground	Psychic	55	138.0	3	False	40	40	55	40	70
376	344	Claydol	Ground	Psychic	75	238.0	3	False	60	70	105	70	120
377	345	Lileep	Rock	Grass	23	187.0	3	False	66	41	77	61	87
378	346	Cradily	Rock	Grass	43	267.0	3	False	86	81	97	81	107
379	347	Anorith	Rock	Bug	75	193.0	3	False	45	95	50	40	50
380	348	Armaldo	Rock	Bug	45	303.0	3	False	75	125	100	70	80
